sender,sender_type,sender_id,timestamp,meta,NA,german,swahili,correct,distractor1,distractor2,distractor3,distractors,duration,enc,ended_on,response,response_,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,x
Shallow Question,html.Page,7_0_1_0_3_1_0,2023-01-08T10:30:56.346Z,NA,NA,Kultur,utamaduni,NA,shetani,gerezani,mazingira,NA,5705.6030000010500,s,form submission,NA,utamaduni,NA,1209776.1000000000,1209775.7000000000,1204053.431,1204056.8000000000,1204070.097,1209787.061,NA,1
"""Richtig""-Screen",canvas.Screen,7_0_1_0_3_1_1,2023-01-08T10:31:01.342Z,NA,sdfdsf,Kultur,utamaduni,1,shetani,gerezani,mazingira,NA,4999.800000000050,s,timeout,NA,NA,NA,1214772.5,1214770.195,1209770.395,1209780,1209787.061,1214786.861,NA,1
"""Falsch""-Screen",canvas.Screen,7_0_1_0_3_1_2,2023-01-08T10:31:01.346Z,NA,sdfdsf,Kultur,utamaduni,NA,shetani,gerezani,mazingira,NA,NaN,s,skipped,NA,NA,NA,1214776.8000000000,1214770.195,NA,1214776.7000000000,NA,1214786.861,NA,1
shallow,flow.Sequence,7_0_1_0_3_1,2023-01-08T10:31:01.346Z,NA,sdfdsf,Kultur,utamaduni,NA,shetani,gerezani,mazingira,NA,10700.098000000000,s,completion,NA,NA,NA,1214776.9000000000,1214770.195,1204053.431,1204056.8000000000,1204070.097,1214786.861,NA,1
task  ,flow.Sequence,7_0_1_0_3,2023-01-08T10:31:01.346Z,NA,sdfdsf,Kultur,utamaduni,NA,shetani,gerezani,mazingira,NA,10700.098000000000,s,completion,NA,NA,NA,1214777.1000000000,1214770.195,1204053.431,1204056.6000000000,1204070.097,1214786.861,NA,1
deep,flow.Sequence,7_0_1_0_4_0,2023-01-08T10:31:01.347Z,NA,sdfdsf,Genehmigung,idhini,NA,mwanamke,itikadi,fedheha,NA,NaN,s,skipped,NA,NA,NA,1214777.2000000000,1214770.195,NA,1214777.2000000000,NA,1214786.861,NA,1
Shallow Question,html.Page,7_0_1_0_4_1_0,2023-01-08T10:31:12.528Z,NA,NA,Genehmigung,idhini,NA,mwanamke,itikadi,fedheha,NA,11171.539000000300,s,form submission,NA,idhini,NA,1225959,1225958.4000000000,1214770.195,1214777.2000000000,1214786.861,1225970.342,NA,1
"""Richtig""-Screen",canvas.Screen,7_0_1_0_4_1_1,2023-01-08T10:31:17.525Z,NA,sdfdsf,Genehmigung,idhini,1,mwanamke,itikadi,fedheha,NA,4999.800000000050,s,timeout,NA,NA,NA,1230955.6000000000,1230953.476,1225953.676,1225962.3000000000,1225970.342,1230970.142,NA,1
"""Falsch""-Screen",canvas.Screen,7_0_1_0_4_1_2,2023-01-08T10:31:17.529Z,NA,sdfdsf,Genehmigung,idhini,NA,mwanamke,itikadi,fedheha,NA,NaN,s,skipped,NA,NA,NA,1230959.6000000000,1230953.476,NA,1230959.4000000000,NA,1230970.142,NA,1
shallow,flow.Sequence,7_0_1_0_4_1,2023-01-08T10:31:17.529Z,NA,sdfdsf,Genehmigung,idhini,NA,mwanamke,itikadi,fedheha,NA,16166.61500000000,s,completion,NA,NA,NA,1230959.8000000000,1230953.476,1214770.195,1214777.2000000000,1214786.861,1230970.142,NA,1
task  ,flow.Sequence,7_0_1_0_4,2023-01-08T10:31:17.529Z,NA,sdfdsf,Genehmigung,idhini,NA,mwanamke,itikadi,fedheha,NA,16166.61500000000,s,completion,NA,NA,NA,1230960,1230953.476,1214770.195,1214777.1000000000,1214786.861,1230970.142,NA,1
Deep Question,html.Page,7_0_1_0_5_0_0,2023-01-08T10:31:29.494Z,NA,NA,Prüfung,mtihani,NA,NA,NA,NA,NA,11954.158000000800,d,form submission,NA,hichani,NA,1242924.6000000000,1242924.3000000000,1230953.476,1230960.1000000000,1230970.142,1242937.618,NA,1
"""Richtig""-Screen",canvas.Screen,7_0_1_0_5_0_1,2023-01-08T10:31:29.497Z,NA,sdfdsf,Prüfung,mtihani,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1242927.8000000000,1242924.3000000000,NA,1242927.7000000000,NA,1242937.618,NA,1
"""Falsch""-Screen",canvas.Screen,7_0_1_0_5_0_2,2023-01-08T10:31:34.491Z,NA,sdfdsf,Prüfung,mtihani,0,NA,NA,NA,NA,4999.800000000050,d,timeout,NA,NA,NA,1247922.1000000000,1247920.752,1242920.952,1242928.4000000000,1242937.618,1247937.418,NA,1
deep,flow.Sequence,7_0_1_0_5_0,2023-01-08T10:31:34.491Z,NA,sdfdsf,Prüfung,mtihani,NA,NA,NA,NA,NA,16950.610000000100,d,completion,NA,NA,NA,1247922.6000000000,1247920.752,1230953.476,1230960.1000000000,1230970.142,1247937.418,NA,1
shallow,flow.Sequence,7_0_1_0_5_1,2023-01-08T10:31:34.492Z,NA,sdfdsf,Prüfung,mtihani,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1247922.8000000000,1247920.752,NA,1247922.7000000000,NA,1247937.418,NA,1
task  ,flow.Sequence,7_0_1_0_5,2023-01-08T10:31:34.492Z,NA,sdfdsf,Prüfung,mtihani,NA,NA,NA,NA,NA,16950.610000000100,d,completion,NA,NA,NA,1247923,1247920.752,1230953.476,1230960,1230970.142,1247937.418,NA,1
Deep Question,html.Page,7_0_1_0_6_0_0,2023-01-08T10:31:39.677Z,NA,NA,Aufstand,ugomaji,NA,NA,NA,NA,NA,5170.482000000310,d,form submission,NA,1,NA,1253108.4000000000,1253107.9000000000,1247920.752,1247923.3000000000,1247937.418,1253121.082,NA,1
"""Richtig""-Screen",canvas.Screen,7_0_1_0_6_0_1,2023-01-08T10:31:39.681Z,NA,sdfdsf,Aufstand,ugomaji,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1253111.9000000000,1253107.9000000000,NA,1253111.9000000000,NA,1253121.082,NA,1
"""Falsch""-Screen",canvas.Screen,7_0_1_0_6_0_2,2023-01-08T10:31:44.676Z,NA,sdfdsf,Aufstand,ugomaji,0,NA,NA,NA,NA,4999.800000000050,d,timeout,NA,NA,NA,1258106.9000000000,1258104.216,1253104.416,1253112.5,1253121.082,1258120.882,NA,1
deep,flow.Sequence,7_0_1_0_6_0,2023-01-08T10:31:44.676Z,NA,sdfdsf,Aufstand,ugomaji,NA,NA,NA,NA,NA,10166.798000000000,d,completion,NA,NA,NA,1258107.4000000000,1258104.216,1247920.752,1247923.2000000000,1247937.418,1258120.882,NA,1
shallow,flow.Sequence,7_0_1_0_6_1,2023-01-08T10:31:44.676Z,NA,sdfdsf,Aufstand,ugomaji,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1258107.7000000000,1258104.216,NA,1258107.6000000000,NA,1258120.882,NA,1
task  ,flow.Sequence,7_0_1_0_6,2023-01-08T10:31:44.677Z,NA,sdfdsf,Aufstand,ugomaji,NA,NA,NA,NA,NA,10166.798000000000,d,completion,NA,NA,NA,1258107.9000000000,1258104.216,1247920.752,1247923.1000000000,1247937.418,1258120.882,NA,1
deep,flow.Sequence,7_0_1_0_7_0,2023-01-08T10:31:44.677Z,NA,sdfdsf,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,NaN,s,skipped,NA,NA,NA,1258108.2000000000,1258104.216,NA,1258108.1000000000,NA,1258120.882,NA,1
Shallow Question,html.Page,7_0_1_0_7_1_0,2023-01-08T10:31:52.412Z,NA,NA,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,7721.818000001130,s,form submission,NA,kukutana,NA,1265843.2000000000,1265842.7000000000,1258104.216,1258108.3000000000,1258120.882,1265854.358,NA,1
"""Richtig""-Screen",canvas.Screen,7_0_1_0_7_1_1,2023-01-08T10:31:57.408Z,NA,sdfdsf,Begegnung,kukutana,1,mmasihiya,mpiganaji,husiano,NA,4999.800000000050,s,timeout,NA,NA,NA,1270839.4000000000,1270837.492,1265837.692,1265846.4000000000,1265854.358,1270854.158,NA,1
"""Falsch""-Screen",canvas.Screen,7_0_1_0_7_1_2,2023-01-08T10:31:57.412Z,NA,sdfdsf,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,NaN,s,skipped,NA,NA,NA,1270843.9000000000,1270837.492,NA,1270843.7000000000,NA,1270854.158,NA,1
shallow,flow.Sequence,7_0_1_0_7_1,2023-01-08T10:31:57.413Z,NA,sdfdsf,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,12716.610000000100,s,completion,NA,NA,NA,1270844.8000000000,1270837.492,1258104.216,1258108.3000000000,1258120.882,1270854.158,NA,1
task  ,flow.Sequence,7_0_1_0_7,2023-01-08T10:31:57.414Z,NA,sdfdsf,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,12716.610000000100,s,completion,NA,NA,NA,1270845,1270837.492,1258104.216,1258108,1258120.882,1270854.158,NA,1
block,flow.Loop,7_0_1_0,2023-01-08T10:31:57.414Z,NA,sdfdsf,NA,NA,NA,NA,NA,NA,NA,98084.081,NA,completion,NA,NA,NA,1270845.2000000000,1270837.492,1172720.079,1172758.4000000000,1172753.411,1270854.158,NA,1
weiter,canvas.Screen,7_0_1_1,2023-01-08T10:31:58.481Z,NA,sdfdsf,NA,NA,NA,NA,NA,NA,NA,1054.5420000010600,NA,response,sdf,NA,keypress(Space),1271912.3000000000,1271908.7000000000,1270837.492,1270845.2000000000,1270854.158,1271937.448,NA,1
check continue,flow.Sequence,7_0_1,2023-01-08T10:31:58.481Z,NA,sdfdsf,NA,NA,NA,NA,NA,NA,NA,99155.28900000100,NA,completion,NA,NA,NA,1271912.7000000000,1271908.7000000000,1172720.079,1172758.4000000000,1172753.411,1271937.448,NA,1
deep,flow.Sequence,7_0_2_0_0_0,2023-01-08T10:31:58.509Z,NA,sdf,Kultur,utamaduni,NA,shetani,gerezani,mazingira,NA,NaN,s,skipped,NA,NA,NA,1271940.4000000000,1271908.7000000000,NA,1271940.2000000000,NA,1271937.448,NA,2
Shallow Question,html.Page,7_0_2_0_0_1_0,2023-01-08T10:32:06.545Z,NA,NA,Kultur,utamaduni,NA,shetani,gerezani,mazingira,NA,8038.051999999910,s,form submission,NA,utamaduni,NA,1279976,1279975.5,1271904.116,1271940.4000000000,1271937.448,1279987.756,NA,2
"""Richtig""-Screen",canvas.Screen,7_0_2_0_0_1_1,2023-01-08T10:32:11.542Z,NA,sdf,Kultur,utamaduni,1,shetani,gerezani,mazingira,NA,4999.800000000050,s,timeout,NA,NA,NA,1284973.2000000000,1284970.89,1279971.09,1279979.7000000000,1279987.756,1284987.556,NA,2
"""Falsch""-Screen",canvas.Screen,7_0_2_0_0_1_2,2023-01-08T10:32:11.546Z,NA,sdf,Kultur,utamaduni,NA,shetani,gerezani,mazingira,NA,NaN,s,skipped,NA,NA,NA,1284977.1000000000,1284970.89,NA,1284977,NA,1284987.556,NA,2
shallow,flow.Sequence,7_0_2_0_0_1,2023-01-08T10:32:11.546Z,NA,sdf,Kultur,utamaduni,NA,shetani,gerezani,mazingira,NA,13033.441999999800,s,completion,NA,NA,NA,1284977.3000000000,1284970.89,1271904.116,1271940.4000000000,1271937.448,1284987.556,NA,2
task  ,flow.Sequence,7_0_2_0_0,2023-01-08T10:32:11.546Z,NA,sdf,Kultur,utamaduni,NA,shetani,gerezani,mazingira,NA,13033.441999999800,s,completion,NA,NA,NA,1284977.4000000000,1284970.89,1271904.116,1271940.2000000000,1271937.448,1284987.556,NA,2
Deep Question,html.Page,7_0_2_0_1_0_0,2023-01-08T10:32:20.962Z,NA,NA,Fleisch,mshakiki,NA,NA,NA,NA,NA,9405.244000000650,d,form submission,NA,msahkiki,NA,1294393.3000000000,1294392.8000000000,1284970.89,1284977.4000000000,1284987.556,1294404.48,NA,2
"""Richtig""-Screen",canvas.Screen,7_0_2_0_1_0_1,2023-01-08T10:32:20.965Z,NA,sdf,Fleisch,mshakiki,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1294397.1000000000,1294392.8000000000,NA,1294396.8000000000,NA,1294404.48,NA,2
"""Falsch""-Screen",canvas.Screen,7_0_2_0_1_0_2,2023-01-08T10:32:25.958Z,NA,sdf,Fleisch,mshakiki,0,NA,NA,NA,NA,4999.800000000050,d,timeout,NA,NA,NA,1299390,1299387.614,1294387.814,1294398.1000000000,1294404.48,1299404.28,NA,2
deep,flow.Sequence,7_0_2_0_1_0,2023-01-08T10:32:25.959Z,NA,sdf,Fleisch,mshakiki,NA,NA,NA,NA,NA,14400.05800000000,d,completion,NA,NA,NA,1299390.5,1299387.614,1284970.89,1284977.4000000000,1284987.556,1299404.28,NA,2
shallow,flow.Sequence,7_0_2_0_1_1,2023-01-08T10:32:25.959Z,NA,sdf,Fleisch,mshakiki,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1299390.8000000000,1299387.614,NA,1299390.6000000000,NA,1299404.28,NA,2
task  ,flow.Sequence,7_0_2_0_1,2023-01-08T10:32:25.959Z,NA,sdf,Fleisch,mshakiki,NA,NA,NA,NA,NA,14400.05800000000,d,completion,NA,NA,NA,1299390.9000000000,1299387.614,1284970.89,1284977.4000000000,1284987.556,1299404.28,NA,2
deep,flow.Sequence,7_0_2_0_2_0,2023-01-08T10:32:25.959Z,NA,sdf,Genehmigung,idhini,NA,mwanamke,itikadi,fedheha,NA,NaN,s,skipped,NA,NA,NA,1299391.1000000000,1299387.614,NA,1299391.1000000000,NA,1299404.28,NA,2
Shallow Question,html.Page,7_0_2_0_2_1_0,2023-01-08T10:32:29.611Z,NA,NA,Genehmigung,idhini,NA,mwanamke,itikadi,fedheha,NA,3638.1200000003400,s,form submission,NA,idhini,NA,1303042.9000000000,1303042.4000000000,1299387.614,1299391.3000000000,1299404.28,1303054.855,NA,2
"""Richtig""-Screen",canvas.Screen,7_0_2_0_2_1_1,2023-01-08T10:32:34.608Z,NA,sdf,Genehmigung,idhini,1,mwanamke,itikadi,fedheha,NA,4999.800000000050,s,timeout,NA,NA,NA,1308039.8000000000,1308037.989,1303038.189,1303046.2000000000,1303054.855,1308054.655,NA,2
"""Falsch""-Screen",canvas.Screen,7_0_2_0_2_1_2,2023-01-08T10:32:34.612Z,NA,sdf,Genehmigung,idhini,NA,mwanamke,itikadi,fedheha,NA,NaN,s,skipped,NA,NA,NA,1308044,1308037.989,NA,1308044,NA,1308054.655,NA,2
shallow,flow.Sequence,7_0_2_0_2_1,2023-01-08T10:32:34.612Z,NA,sdf,Genehmigung,idhini,NA,mwanamke,itikadi,fedheha,NA,8633.709000000030,s,completion,NA,NA,NA,1308044.2000000000,1308037.989,1299387.614,1299391.2000000000,1299404.28,1308054.655,NA,2
task  ,flow.Sequence,7_0_2_0_2,2023-01-08T10:32:34.612Z,NA,sdf,Genehmigung,idhini,NA,mwanamke,itikadi,fedheha,NA,8633.709000000030,s,completion,NA,NA,NA,1308044.3000000000,1308037.989,1299387.614,1299391,1299404.28,1308054.655,NA,2
Deep Question,html.Page,7_0_2_0_3_0_0,2023-01-08T10:32:42.809Z,NA,NA,Aufstand,ugomaji,NA,NA,NA,NA,NA,8186.04500000109,d,form submission,NA,2,NA,1316241,1316240.7000000000,1308037.989,1308044.4000000000,1308054.655,1316254.847,NA,2
"""Richtig""-Screen",canvas.Screen,7_0_2_0_3_0_1,2023-01-08T10:32:42.812Z,NA,sdf,Aufstand,ugomaji,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1316243.5,1316240.7000000000,NA,1316243.4000000000,NA,1316254.847,NA,2
"""Falsch""-Screen",canvas.Screen,7_0_2_0_3_0_2,2023-01-08T10:32:47.809Z,NA,sdf,Aufstand,ugomaji,0,NA,NA,NA,NA,4999.800000000050,d,timeout,NA,NA,NA,1321240.6000000000,1321237.981,1316238.181,1316243.9000000000,1316254.847,1321254.647,NA,2
deep,flow.Sequence,7_0_2_0_3_0,2023-01-08T10:32:47.809Z,NA,sdf,Aufstand,ugomaji,NA,NA,NA,NA,NA,13183.325999999900,d,completion,NA,NA,NA,1321241.1000000000,1321237.981,1308037.989,1308044.4000000000,1308054.655,1321254.647,NA,2
shallow,flow.Sequence,7_0_2_0_3_1,2023-01-08T10:32:47.809Z,NA,sdf,Aufstand,ugomaji,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1321241.3000000000,1321237.981,NA,1321241.2000000000,NA,1321254.647,NA,2
task  ,flow.Sequence,7_0_2_0_3,2023-01-08T10:32:47.809Z,NA,sdf,Aufstand,ugomaji,NA,NA,NA,NA,NA,13183.325999999900,d,completion,NA,NA,NA,1321241.6000000000,1321237.981,1308037.989,1308044.3000000000,1308054.655,1321254.647,NA,2
Deep Question,html.Page,7_0_2_0_4_0_0,2023-01-08T10:33:00.593Z,NA,NA,Integrität,uadilifu,NA,NA,NA,NA,NA,12770.053000001000,d,form submission,NA,2,NA,1334025,1334024.7000000000,1321237.981,1321241.7000000000,1321254.647,1334038.549,NA,2
"""Richtig""-Screen",canvas.Screen,7_0_2_0_4_0_1,2023-01-08T10:33:00.596Z,NA,sdf,Integrität,uadilifu,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1334028.1000000000,1334024.7000000000,NA,1334027.9000000000,NA,1334038.549,NA,2
"""Falsch""-Screen",canvas.Screen,7_0_2_0_4_0_2,2023-01-08T10:33:05.592Z,NA,sdf,Integrität,uadilifu,0,NA,NA,NA,NA,4999.799999999810,d,timeout,NA,NA,NA,1339024,1339021.683,1334021.883,1334028.5,1334038.549,1339038.349,NA,2
deep,flow.Sequence,7_0_2_0_4_0,2023-01-08T10:33:05.592Z,NA,sdf,Integrität,uadilifu,NA,NA,NA,NA,NA,17767.035999999800,d,completion,NA,NA,NA,1339024.2000000000,1339021.683,1321237.981,1321241.6000000000,1321254.647,1339038.349,NA,2
shallow,flow.Sequence,7_0_2_0_4_1,2023-01-08T10:33:05.592Z,NA,sdf,Integrität,uadilifu,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1339024.3000000000,1339021.683,NA,1339024.3000000000,NA,1339038.349,NA,2
task  ,flow.Sequence,7_0_2_0_4,2023-01-08T10:33:05.592Z,NA,sdf,Integrität,uadilifu,NA,NA,NA,NA,NA,17767.035999999800,d,completion,NA,NA,NA,1339024.3000000000,1339021.683,1321237.981,1321241.6000000000,1321254.647,1339038.349,NA,2
Deep Question,html.Page,7_0_2_0_5_0_0,2023-01-08T10:33:14.594Z,NA,NA,Prüfung,mtihani,NA,NA,NA,NA,NA,8987.451000000820,d,form submission,NA,mtihani,NA,1348026,1348025.8000000000,1339021.683,1339024.4000000000,1339038.349,1348038.614,NA,2
"""Richtig""-Screen",canvas.Screen,7_0_2_0_5_0_1,2023-01-08T10:33:19.591Z,NA,sdf,Prüfung,mtihani,1,NA,NA,NA,NA,4999.800000000050,d,timeout,NA,NA,NA,1353023.5,1353021.748,1348021.948,1348028.4000000000,1348038.614,1353038.414,NA,2
"""Falsch""-Screen",canvas.Screen,7_0_2_0_5_0_2,2023-01-08T10:33:19.596Z,NA,sdf,Prüfung,mtihani,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1353028.1000000000,1353021.748,NA,1353027.9000000000,NA,1353038.414,NA,2
deep,flow.Sequence,7_0_2_0_5_0,2023-01-08T10:33:19.596Z,NA,sdf,Prüfung,mtihani,NA,NA,NA,NA,NA,13983.399000000000,d,completion,NA,NA,NA,1353028.4000000000,1353021.748,1339021.683,1339024.4000000000,1339038.349,1353038.414,NA,2
shallow,flow.Sequence,7_0_2_0_5_1,2023-01-08T10:33:19.596Z,NA,sdf,Prüfung,mtihani,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1353028.6000000000,1353021.748,NA,1353028.5,NA,1353038.414,NA,2
task  ,flow.Sequence,7_0_2_0_5,2023-01-08T10:33:19.596Z,NA,sdf,Prüfung,mtihani,NA,NA,NA,NA,NA,13983.399000000000,d,completion,NA,NA,NA,1353028.7000000000,1353021.748,1339021.683,1339024.4000000000,1339038.349,1353038.414,NA,2
deep,flow.Sequence,7_0_2_0_6_0,2023-01-08T10:33:19.597Z,NA,sdf,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,NaN,s,skipped,NA,NA,NA,1353029.1000000000,1353021.748,NA,1353028.9000000000,NA,1353038.414,NA,2
Shallow Question,html.Page,7_0_2_0_6_1_0,2023-01-08T10:33:23.861Z,NA,NA,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,4254.886000000640,s,form submission,NA,kukutana,NA,1357293.9000000000,1357293.3000000000,1353021.748,1353029.2000000000,1353038.414,1357305.479,NA,2
"""Richtig""-Screen",canvas.Screen,7_0_2_0_6_1_1,2023-01-08T10:33:28.858Z,NA,sdf,Begegnung,kukutana,1,mmasihiya,mpiganaji,husiano,NA,4999.800000000050,s,timeout,NA,NA,NA,1362290.9000000000,1362288.613,1357288.813,1357297,1357305.479,1362305.279,NA,2
"""Falsch""-Screen",canvas.Screen,7_0_2_0_6_1_2,2023-01-08T10:33:28.863Z,NA,sdf,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,NaN,s,skipped,NA,NA,NA,1362296,1362288.613,NA,1362295.7000000000,NA,1362305.279,NA,2
shallow,flow.Sequence,7_0_2_0_6_1,2023-01-08T10:33:28.864Z,NA,sdf,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,9250.19899999979,s,completion,NA,NA,NA,1362296.2000000000,1362288.613,1353021.748,1353029.2000000000,1353038.414,1362305.279,NA,2
task  ,flow.Sequence,7_0_2_0_6,2023-01-08T10:33:28.864Z,NA,sdf,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,9250.19899999979,s,completion,NA,NA,NA,1362296.2000000000,1362288.613,1353021.748,1353028.9000000000,1353038.414,1362305.279,NA,2
deep,flow.Sequence,7_0_2_0_7_0,2023-01-08T10:33:28.864Z,NA,sdf,Verzögerung,kuchelewa,NA,mwakilishi,mwanauchumi,jaribio,NA,NaN,s,skipped,NA,NA,NA,1362296.4000000000,1362288.613,NA,1362296.3000000000,NA,1362305.279,NA,2
Shallow Question,html.Page,7_0_2_0_7_1_0,2023-01-08T10:33:32.995Z,NA,NA,Verzögerung,kuchelewa,NA,mwakilishi,mwanauchumi,jaribio,NA,4121.421000001020,s,form submission,NA,kuchelewa,NA,1366427.3000000000,1366426.7000000000,1362288.613,1362296.4000000000,1362305.279,1366438.968,NA,2
"""Richtig""-Screen",canvas.Screen,7_0_2_0_7_1_1,2023-01-08T10:33:37.991Z,NA,sdf,Verzögerung,kuchelewa,1,mwakilishi,mwanauchumi,jaribio,NA,4999.799999999810,s,timeout,NA,NA,NA,1371424,1371422.102,1366422.302,1366430,1366438.968,1371438.768,NA,2
"""Falsch""-Screen",canvas.Screen,7_0_2_0_7_1_2,2023-01-08T10:33:37.995Z,NA,sdf,Verzögerung,kuchelewa,NA,mwakilishi,mwanauchumi,jaribio,NA,NaN,s,skipped,NA,NA,NA,1371428.2000000000,1371422.102,NA,1371428,NA,1371438.768,NA,2
shallow,flow.Sequence,7_0_2_0_7_1,2023-01-08T10:33:37.996Z,NA,sdf,Verzögerung,kuchelewa,NA,mwakilishi,mwanauchumi,jaribio,NA,9116.822999999860,s,completion,NA,NA,NA,1371428.4000000000,1371422.102,1362288.613,1362296.4000000000,1362305.279,1371438.768,NA,2
task  ,flow.Sequence,7_0_2_0_7,2023-01-08T10:33:37.996Z,NA,sdf,Verzögerung,kuchelewa,NA,mwakilishi,mwanauchumi,jaribio,NA,9116.822999999860,s,completion,NA,NA,NA,1371428.4000000000,1371422.102,1362288.613,1362296.3000000000,1362305.279,1371438.768,NA,2
block,flow.Loop,7_0_2_0,2023-01-08T10:33:37.996Z,NA,sdf,NA,NA,NA,NA,NA,NA,NA,99484.65399999990,NA,completion,NA,NA,NA,1371428.6000000000,1371422.102,1271904.116,1271940.2000000000,1271937.448,1371438.768,NA,2
weiter,canvas.Screen,7_0_2_1,2023-01-08T10:33:39.077Z,NA,sdf,NA,NA,NA,NA,NA,NA,NA,1067.5320000008200,NA,response,sdf,NA,keypress(Space),1372509.7000000000,1372506.3000000000,1371422.102,1371428.7000000000,1371438.768,1372538.724,NA,2
check continue,flow.Sequence,7_0_2,2023-01-08T10:33:39.077Z,NA,sdf,NA,NA,NA,NA,NA,NA,NA,100568.85200000100,NA,completion,NA,NA,NA,1372510.2000000000,1372506.3000000000,1271904.116,1271940.2000000000,1271937.448,1372538.724,NA,2
Deep Question,html.Page,7_0_3_0_0_0_0,2023-01-08T10:33:46.065Z,NA,NA,Fleisch,mshakiki,NA,NA,NA,NA,NA,6958.776000000070,d,form submission,NA,mshakiki,NA,1379498.1000000000,1379497.5,1372505.392,1372538.3000000000,1372538.724,1379505.637,NA,3
"""Richtig""-Screen",canvas.Screen,7_0_3_0_0_0_1,2023-01-08T10:33:51.058Z,NA,qt,Fleisch,mshakiki,1,NA,NA,NA,NA,4999.799999999810,d,timeout,NA,NA,NA,1384490.9000000000,1384488.771,1379488.971,1379501.2000000000,1379505.637,1384505.437,NA,3
"""Falsch""-Screen",canvas.Screen,7_0_3_0_0_0_2,2023-01-08T10:33:51.062Z,NA,qt,Fleisch,mshakiki,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1384495.2000000000,1384488.771,NA,1384495.1000000000,NA,1384505.437,NA,3
deep,flow.Sequence,7_0_3_0_0_0,2023-01-08T10:33:51.062Z,NA,qt,Fleisch,mshakiki,NA,NA,NA,NA,NA,11950.04700000000,d,completion,NA,NA,NA,1384495.4000000000,1384488.771,1372505.392,1372538,1372538.724,1384505.437,NA,3
shallow,flow.Sequence,7_0_3_0_0_1,2023-01-08T10:33:51.063Z,NA,qt,Fleisch,mshakiki,NA,NA,NA,NA,NA,NaN,d,skipped,NA,NA,NA,1384495.5,1384488.771,NA,1384495.4000000000,NA,1384505.437,NA,3
task  ,flow.Sequence,7_0_3_0_0,2023-01-08T10:33:51.063Z,NA,qt,Fleisch,mshakiki,NA,NA,NA,NA,NA,11950.04700000000,d,completion,NA,NA,NA,1384495.6000000000,1384488.771,1372505.392,1372538,1372538.724,1384505.437,NA,3
deep,flow.Sequence,7_0_3_0_1_0,2023-01-08T10:33:51.063Z,NA,qt,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,NaN,s,skipped,NA,NA,NA,1384495.8000000000,1384488.771,NA,1384495.7000000000,NA,1384505.437,NA,3
Shallow Question,html.Page,7_0_3_0_1_1_0,2023-01-08T10:33:56.312Z,NA,NA,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,5238.563000000080,s,form submission,NA,kukutana,NA,1389744.5,1389744,1384488.771,1384495.9000000000,1384505.437,1389755.812,NA,3
"""Richtig""-Screen",canvas.Screen,7_0_3_0_1_1_1,2023-01-08T10:34:01.308Z,NA,qt,Begegnung,kukutana,1,mmasihiya,mpiganaji,husiano,NA,4999.800000000050,s,timeout,NA,NA,NA,1394741,1394738.946,1389739.146,1389747.2000000000,1389755.812,1394755.612,NA,3
"""Falsch""-Screen",canvas.Screen,7_0_3_0_1_1_2,2023-01-08T10:34:01.313Z,NA,qt,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,NaN,s,skipped,NA,NA,NA,1394746.1000000000,1394738.946,NA,1394746,NA,1394755.612,NA,3
shallow,flow.Sequence,7_0_3_0_1_1,2023-01-08T10:34:01.313Z,NA,qt,Begegnung,kukutana,NA,mmasihiya,mpiganaji,husiano,NA,10233.509000000100,s,completion,NA,NA,NA,1394746.4000000000,1394738.946,1384488.771,1384495.9000000000,1384505.437,1394755.612,NA,3
