sender,sender_type,sender_id,timestamp,meta,,German,Swahili,correct,distractor1,distractor2,distractor3,distractors,duration,enc,ended_on,response,response_,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,x
Shallow Question,html.Page,1_1_4_1_0,2023-01-08T10:13:17.915Z,,,Gegenwart,hadhara,,katiba,jokofu,mikopo,"[""distractor1"",""distractor2"",""distractor3""]",9573.742999999988,s,form submission,,hadhara,,151331.90000000037,151331.5,141741.091,141744.5,141757.757,151341.253,,
"""Richtig""-Screen",canvas.Screen,1_1_4_1_1,2023-01-08T10:13:22.910Z,,,Gegenwart,hadhara,1,katiba,jokofu,mikopo,"[""distractor1"",""distractor2"",""distractor3""]",4999.8000000000175,s,timeout,,,,156326.80000000075,156324.387,151324.587,151334.20000000112,151341.253,156341.053,,
"""Falsch""-Screen",canvas.Screen,1_1_4_1_2,2023-01-08T10:13:22.914Z,,,Gegenwart,hadhara,,katiba,jokofu,mikopo,"[""distractor1"",""distractor2"",""distractor3""]",NaN,s,skipped,,,,156330.80000000075,156324.387,,156330.6000000015,,156341.053,,
shallow,flow.Sequence,1_1_4_1,2023-01-08T10:13:22.914Z,,,Gegenwart,hadhara,,katiba,jokofu,mikopo,"[""distractor1"",""distractor2"",""distractor3""]",14566.629999999976,s,completion,,,,156330.90000000037,156324.387,141741.091,141744.40000000037,141757.757,156341.053,,
task  ,flow.Sequence,1_1_4,2023-01-08T10:13:22.914Z,,,Gegenwart,hadhara,,katiba,jokofu,mikopo,"[""distractor1"",""distractor2"",""distractor3""]",14566.629999999976,s,completion,,,,156331.1000000015,156324.387,141741.091,141744.1000000015,141757.757,156341.053,,
Deep Question,html.Page,1_1_5_0_0,2023-01-08T10:13:25.828Z,,,Schatten,kivuli,,,,,"[""distractor1"",""distractor2"",""distractor3""]",2903.347000000358,d,form submission,,3,,159244.70000000112,159244.40000000037,156324.387,156331.20000000112,156341.053,159258.11,,
"""Richtig""-Screen",canvas.Screen,1_1_5_0_1,2023-01-08T10:13:25.829Z,,,Schatten,kivuli,,,,,"[""distractor1"",""distractor2"",""distractor3""]",NaN,d,skipped,,,,159245.6000000015,159244.40000000037,,159245.5,,159258.11,,
"""Falsch""-Screen",canvas.Screen,1_1_5_0_2,2023-01-08T10:13:30.827Z,,,Schatten,kivuli,0,,,,"[""distractor1"",""distractor2"",""distractor3""]",4999.8000000000175,d,timeout,,,,164243.6000000015,164241.244,159241.444,159246.1000000015,159258.11,164257.91,,
deep,flow.Sequence,1_1_5_0,2023-01-08T10:13:30.827Z,,,Schatten,kivuli,,,,,"[""distractor1"",""distractor2"",""distractor3""]",7900.190999999992,d,completion,,,,164244,164241.244,156324.387,156331.20000000112,156341.053,164257.91,,
shallow,flow.Sequence,1_1_5_1,2023-01-08T10:13:30.828Z,,,Schatten,kivuli,,,,,"[""distractor1"",""distractor2"",""distractor3""]",NaN,d,skipped,,,,164244.30000000075,164241.244,,164244.20000000112,,164257.91,,
task  ,flow.Sequence,1_1_5,2023-01-08T10:13:30.828Z,,,Schatten,kivuli,,,,,"[""distractor1"",""distractor2"",""distractor3""]",7900.190999999992,d,completion,,,,164244.6000000015,164241.244,156324.387,156331.1000000015,156341.053,164257.91,,
block,flow.Loop,1_1,2023-01-08T10:13:30.828Z,,,,,,,,,"[""distractor1"",""distractor2"",""distractor3""]",69367.41,,completion,,,,164244.90000000037,164241.244,94857.168,94858.20000000112,94873.834,164257.91,,
Practice,flow.Sequence,1,2023-01-08T10:13:30.828Z,,,,,,,,,,75254.19200000001,,completion,,,,164245.1000000015,164241.244,88970.386,88980.60000000149,88987.052,164257.91,,
Experiment start,canvas.Screen,2,2023-01-08T10:13:51.471Z,,,,,,,,,,20627.190000001487,,response,weiter,,keypress(q),184888.40000000037,184885.1000000015,164241.244,164245.20000000112,164257.91,184940.416,,
deep,flow.Sequence,3_0_0_0_0_0,2023-01-08T10:13:51.532Z,,sdf,Kontrolle,kudhibiti,,mbinguni,kufunga,utegemezi,,NaN,s,skipped,,,,184948.80000000075,184885.1000000015,,184948.70000000112,,184940.416,,0
Shallow Question,html.Page,3_0_0_0_0_1_0,2023-01-08T10:13:58.046Z,,,Kontrolle,kudhibiti,,mbinguni,kufunga,utegemezi,,6521.78400000112,s,form submission,,utegemezi,,191462.70000000112,191462.20000000112,184873.752,184948.80000000075,184940.416,191474.935,,0
"""Richtig""-Screen",canvas.Screen,3_0_0_0_0_1_1,2023-01-08T10:13:58.049Z,,sdf,Kontrolle,kudhibiti,,mbinguni,kufunga,utegemezi,,NaN,s,skipped,,,,191465.90000000037,191462.20000000112,,191465.80000000075,,191474.935,,0
"""Falsch""-Screen",canvas.Screen,3_0_0_0_0_1_2,2023-01-08T10:14:03.043Z,,sdf,Kontrolle,kudhibiti,0,mbinguni,kufunga,utegemezi,,4999.799999999988,s,timeout,,,,196460.6000000015,196458.069,191458.269,191466.6000000015,191474.935,196474.735,,0
shallow,flow.Sequence,3_0_0_0_0_1,2023-01-08T10:14:03.044Z,,sdf,Kontrolle,kudhibiti,,mbinguni,kufunga,utegemezi,,11517.652999999991,s,completion,,,,196461,196458.069,184873.752,184948.80000000075,184940.416,196474.735,,0
task  ,flow.Sequence,3_0_0_0_0,2023-01-08T10:14:03.044Z,,sdf,Kontrolle,kudhibiti,,mbinguni,kufunga,utegemezi,,11517.652999999991,s,completion,,,,196461.30000000075,196458.069,184873.752,184948.70000000112,184940.416,196474.735,,0
deep,flow.Sequence,3_0_0_0_1_0,2023-01-08T10:14:03.044Z,,sdf,Betrüger,mdanganyifu,,mwanamuziki,wastani,mahakama,,NaN,s,skipped,,,,196461.6000000015,196458.069,,196461.40000000037,,196474.735,,0
Shallow Question,html.Page,3_0_0_0_1_1_0,2023-01-08T10:14:09.596Z,,,Betrüger,mdanganyifu,,mwanamuziki,wastani,mahakama,,6538.1650000003865,s,form submission,,mahakama,,203013.40000000037,203012.90000000037,196458.069,196461.70000000112,196474.735,203025.195,,0
"""Richtig""-Screen",canvas.Screen,3_0_0_0_1_1_1,2023-01-08T10:14:09.599Z,,sdf,Betrüger,mdanganyifu,,mwanamuziki,wastani,mahakama,,NaN,s,skipped,,,,203016.40000000037,203012.90000000037,,203016.20000000112,,203025.195,,0
"""Falsch""-Screen",canvas.Screen,3_0_0_0_1_1_2,2023-01-08T10:14:14.593Z,,sdf,Betrüger,mdanganyifu,0,mwanamuziki,wastani,mahakama,,4999.799999999988,s,timeout,,,,208010.70000000112,208008.329,203008.529,203017.5,203025.195,208024.995,,0
shallow,flow.Sequence,3_0_0_0_1_1,2023-01-08T10:14:14.594Z,,sdf,Betrüger,mdanganyifu,,mwanamuziki,wastani,mahakama,,11533.594000000012,s,completion,,,,208011.20000000112,208008.329,196458.069,196461.70000000112,196474.735,208024.995,,0
task  ,flow.Sequence,3_0_0_0_1,2023-01-08T10:14:14.594Z,,sdf,Betrüger,mdanganyifu,,mwanamuziki,wastani,mahakama,,11533.594000000012,s,completion,,,,208011.5,208008.329,196458.069,196461.40000000037,196474.735,208024.995,,0
Deep Question,html.Page,3_0_0_0_2_0_0,2023-01-08T10:14:18.345Z,,,Kreativität,ubunifu,,,,,,3737.105000001495,d,form submission,,3,,211762.40000000037,211762.1000000015,208008.329,208011.70000000112,208024.995,211775.363,,0
"""Richtig""-Screen",canvas.Screen,3_0_0_0_2_0_1,2023-01-08T10:14:18.348Z,,sdf,Kreativität,ubunifu,,,,,,NaN,d,skipped,,,,211765.30000000075,211762.1000000015,,211765.1000000015,,211775.363,,0
"""Falsch""-Screen",canvas.Screen,3_0_0_0_2_0_2,2023-01-08T10:14:23.343Z,,sdf,Kreativität,ubunifu,0,,,,,4999.799999999988,d,timeout,,,,216760.80000000075,216758.497,211758.697,211765.70000000112,211775.363,216775.163,,0
deep,flow.Sequence,3_0_0_0_2_0,2023-01-08T10:14:23.344Z,,sdf,Kreativität,ubunifu,,,,,,8733.502000000008,d,completion,,,,216761.20000000112,216758.497,208008.329,208011.70000000112,208024.995,216775.163,,0
shallow,flow.Sequence,3_0_0_0_2_1,2023-01-08T10:14:23.344Z,,sdf,Kreativität,ubunifu,,,,,,NaN,d,skipped,,,,216761.6000000015,216758.497,,216761.40000000037,,216775.163,,0
task  ,flow.Sequence,3_0_0_0_2,2023-01-08T10:14:23.344Z,,sdf,Kreativität,ubunifu,,,,,,8733.502000000008,d,completion,,,,216761.70000000112,216758.497,208008.329,208011.5,208024.995,216775.163,,0
deep,flow.Sequence,3_0_0_0_3_0,2023-01-08T10:14:23.345Z,,sdf,Gefährdung,kuhatarisha,,uchokozi,udhaifu,makorowezo,,NaN,s,skipped,,,,216762,216758.497,,216762,,216775.163,,0
Shallow Question,html.Page,3_0_0_0_3_1_0,2023-01-08T10:14:30.079Z,,,Gefährdung,kuhatarisha,,uchokozi,udhaifu,makorowezo,,6721.237000000372,s,form submission,,uchokozi,,223496.90000000037,223496.40000000037,216758.497,216762.20000000112,216775.163,223508.855,,0
"""Richtig""-Screen",canvas.Screen,3_0_0_0_3_1_1,2023-01-08T10:14:30.082Z,,sdf,Gefährdung,kuhatarisha,,uchokozi,udhaifu,makorowezo,,NaN,s,skipped,,,,223500,223496.40000000037,,223499.80000000075,,223508.855,,0
"""Falsch""-Screen",canvas.Screen,3_0_0_0_3_1_2,2023-01-08T10:14:35.077Z,,sdf,Gefährdung,kuhatarisha,0,uchokozi,udhaifu,makorowezo,,4999.799999999988,s,timeout,,,,228494.40000000037,228491.989,223492.189,223501.1000000015,223508.855,228508.655,,0
shallow,flow.Sequence,3_0_0_0_3_1,2023-01-08T10:14:35.077Z,,sdf,Gefährdung,kuhatarisha,,uchokozi,udhaifu,makorowezo,,11716.826000000001,s,completion,,,,228494.90000000037,228491.989,216758.497,216762.20000000112,216775.163,228508.655,,0
task  ,flow.Sequence,3_0_0_0_3,2023-01-08T10:14:35.078Z,,sdf,Gefährdung,kuhatarisha,,uchokozi,udhaifu,makorowezo,,11716.826000000001,s,completion,,,,228495.1000000015,228491.989,216758.497,216761.90000000037,216775.163,228508.655,,0
Deep Question,html.Page,3_0_0_0_4_0_0,2023-01-08T10:14:38.394Z,,,Respekt,heshima,,,,,,3302.9450000014913,d,form submission,,3,,231811.80000000075,231811.6000000015,228491.989,228495.40000000037,228508.655,231825.626,,0
"""Richtig""-Screen",canvas.Screen,3_0_0_0_4_0_1,2023-01-08T10:14:38.397Z,,sdf,Respekt,heshima,,,,,,NaN,d,skipped,,,,231814.80000000075,231811.6000000015,,231814.70000000112,,231825.626,,0
"""Falsch""-Screen",canvas.Screen,3_0_0_0_4_0_2,2023-01-08T10:14:43.392Z,,sdf,Respekt,heshima,0,,,,,4999.8000000000175,d,timeout,,,,236810.1000000015,236808.76,231808.96,231815.40000000037,231825.626,236825.426,,0
deep,flow.Sequence,3_0_0_0_4_0,2023-01-08T10:14:43.393Z,,sdf,Respekt,heshima,,,,,,8300.10500000001,d,completion,,,,236810.5,236808.76,228491.989,228495.30000000075,228508.655,236825.426,,0
shallow,flow.Sequence,3_0_0_0_4_1,2023-01-08T10:14:43.393Z,,sdf,Respekt,heshima,,,,,,NaN,d,skipped,,,,236810.80000000075,236808.76,,236810.6000000015,,236825.426,,0
task  ,flow.Sequence,3_0_0_0_4,2023-01-08T10:14:43.393Z,,sdf,Respekt,heshima,,,,,,8300.10500000001,d,completion,,,,236811,236808.76,228491.989,228495.30000000075,228508.655,236825.426,,0
Deep Question,html.Page,3_0_0_0_5_0_0,2023-01-08T10:14:46.927Z,,,Orientierung,urekebisho,,,,,,3519.474000000366,d,form submission,,4,,240345.1000000015,240344.90000000037,236808.76,236811.20000000112,236825.426,240359.272,,0
"""Richtig""-Screen",canvas.Screen,3_0_0_0_5_0_1,2023-01-08T10:14:46.930Z,,sdf,Orientierung,urekebisho,,,,,,NaN,d,skipped,,,,240347.80000000075,240344.90000000037,,240347.80000000075,,240359.272,,0
"""Falsch""-Screen",canvas.Screen,3_0_0_0_5_0_2,2023-01-08T10:14:51.927Z,,sdf,Orientierung,urekebisho,0,,,,,4999.799999999988,d,timeout,,,,245344.70000000112,245342.406,240342.606,240348.40000000037,240359.272,245359.072,,0
deep,flow.Sequence,3_0_0_0_5_0,2023-01-08T10:14:51.927Z,,sdf,Orientierung,urekebisho,,,,,,8516.979999999981,d,completion,,,,245345.20000000112,245342.406,236808.76,236811.1000000015,236825.426,245359.072,,0
shallow,flow.Sequence,3_0_0_0_5_1,2023-01-08T10:14:51.928Z,,sdf,Orientierung,urekebisho,,,,,,NaN,d,skipped,,,,245345.6000000015,245342.406,,245345.40000000037,,245359.072,,0
task  ,flow.Sequence,3_0_0_0_5,2023-01-08T10:14:51.928Z,,sdf,Orientierung,urekebisho,,,,,,8516.979999999981,d,completion,,,,245345.70000000112,245342.406,236808.76,236811,236825.426,245359.072,,0
deep,flow.Sequence,3_0_0_0_6_0,2023-01-08T10:14:51.928Z,,sdf,Stimmung,kinyongo,,kilekile,kisambo,madhehebu,,NaN,s,skipped,,,,245346.1000000015,245342.406,,245346,,245359.072,,0
Shallow Question,html.Page,3_0_0_0_6_1_0,2023-01-08T10:14:56.446Z,,,Stimmung,kinyongo,,kilekile,kisambo,madhehebu,,4504.328000000387,s,form submission,,madhehebu,,249864.1000000015,249863.40000000037,245342.406,245346.20000000112,245359.072,249876.11,,0
"""Richtig""-Screen",canvas.Screen,3_0_0_0_6_1_1,2023-01-08T10:14:56.450Z,,sdf,Stimmung,kinyongo,,kilekile,kisambo,madhehebu,,NaN,s,skipped,,,,249867.5,249863.40000000037,,249867.40000000037,,249876.11,,0
"""Falsch""-Screen",canvas.Screen,3_0_0_0_6_1_2,2023-01-08T10:15:01.443Z,,sdf,Stimmung,kinyongo,0,kilekile,kisambo,madhehebu,,4999.8000000000175,s,timeout,,,,254861.30000000075,254859.244,249859.444,249868.20000000112,249876.11,254875.91,,0
shallow,flow.Sequence,3_0_0_0_6_1,2023-01-08T10:15:01.444Z,,sdf,Stimmung,kinyongo,,kilekile,kisambo,madhehebu,,9500.17200000002,s,completion,,,,254861.70000000112,254859.244,245342.406,245346.20000000112,245359.072,254875.91,,0
task  ,flow.Sequence,3_0_0_0_6,2023-01-08T10:15:01.444Z,,sdf,Stimmung,kinyongo,,kilekile,kisambo,madhehebu,,9500.17200000002,s,completion,,,,254861.90000000037,254859.244,245342.406,245345.90000000037,245359.072,254875.91,,0
Deep Question,html.Page,3_0_0_0_7_0_0,2023-01-08T10:15:05.979Z,,,Können,unaweza,,,,,,4520.390000000742,d,form submission,,2,,259396.70000000112,259396.30000000075,254859.244,254862.1000000015,254875.91,259409.062,,0
"""Richtig""-Screen",canvas.Screen,3_0_0_0_7_0_1,2023-01-08T10:15:05.981Z,,sdf,Können,unaweza,,,,,,NaN,d,skipped,,,,259399.20000000112,259396.30000000075,,259399,,259409.062,,0
"""Falsch""-Screen",canvas.Screen,3_0_0_0_7_0_2,2023-01-08T10:15:10.976Z,,sdf,Können,unaweza,0,,,,,4999.8000000000175,d,timeout,,,,264394.2000000011,264392.196,259392.396,259400,259409.062,264408.862,,0
deep,flow.Sequence,3_0_0_0_7_0,2023-01-08T10:15:10.977Z,,sdf,Können,unaweza,,,,,,9516.285999999993,d,completion,,,,264394.80000000075,264392.196,254859.244,254862.1000000015,254875.91,264408.862,,0
shallow,flow.Sequence,3_0_0_0_7_1,2023-01-08T10:15:10.977Z,,sdf,Können,unaweza,,,,,,NaN,d,skipped,,,,264395.1000000015,264392.196,,264395,,264408.862,,0
task  ,flow.Sequence,3_0_0_0_7,2023-01-08T10:15:10.977Z,,sdf,Können,unaweza,,,,,,9516.285999999993,d,completion,,,,264395.30000000075,264392.196,254859.244,254862,254875.91,264408.862,,0
block,flow.Loop,3_0_0_0,2023-01-08T10:15:10.977Z,,sdf,,,,,,,,79451.78,,completion,,,,264395.5,264392.196,184873.752,184948.70000000112,184940.416,264408.862,,0
weiter,canvas.Screen,3_0_0_1,2023-01-08T10:15:12.734Z,,sdf,,,,,,,,1740.5380000003497,,response,sdf,,keypress(Space),266152.6000000015,266149.4000000004,264392.196,264395.6000000015,264408.862,266176.118,,0
check continue,flow.Sequence,3_0_0,2023-01-08T10:15:12.735Z,,sdf,,,,,,,,81208.98400000038,,completion,,,,266153,266149.4000000004,184873.752,184948.70000000112,184940.416,266176.118,,0
Deep Question,html.Page,3_0_1_0_0_0_0,2023-01-08T10:15:22.485Z,,,Orientierung,urekebisho,,,,,,9726.881999999983,d,form submission,,uhubishwo,,275903.6000000015,275903,266142.786,266181.4000000004,266176.118,275909.61,,1
"""Richtig""-Screen",canvas.Screen,3_0_1_0_0_0_1,2023-01-08T10:15:22.489Z,,sdfdsf,Orientierung,urekebisho,,,,,,NaN,d,skipped,,,,275907.5,275903,,275907.2000000011,,275909.61,,1
"""Falsch""-Screen",canvas.Screen,3_0_1_0_0_0_2,2023-01-08T10:15:27.477Z,,sdfdsf,Orientierung,urekebisho,0,,,,,4999.799999999988,d,timeout,,,,280895.1000000015,280892.744,275892.944,275908.6000000015,275909.61,280909.41,,1
deep,flow.Sequence,3_0_1_0_0_0,2023-01-08T10:15:27.477Z,,sdfdsf,Orientierung,urekebisho,,,,,,14716.62599999999,d,completion,,,,280895.5,280892.744,266142.786,266181.4000000004,266176.118,280909.41,,1
shallow,flow.Sequence,3_0_1_0_0_1,2023-01-08T10:15:27.478Z,,sdfdsf,Orientierung,urekebisho,,,,,,NaN,d,skipped,,,,280895.9000000004,280892.744,,280895.7000000011,,280909.41,,1
task  ,flow.Sequence,3_0_1_0_0,2023-01-08T10:15:27.478Z,,sdfdsf,Orientierung,urekebisho,,,,,,14716.62599999999,d,completion,,,,280896.1000000015,280892.744,266142.786,266181.4000000004,266176.118,280909.41,,1
Deep Question,html.Page,3_0_1_0_1_0_0,2023-01-08T10:15:35.061Z,,,Respekt,heshima,,,,,,7569.690000001516,d,form submission,,da,,288479.4000000004,288479.1000000015,280892.744,280896.30000000075,280909.41,288493.096,,1
"""Richtig""-Screen",canvas.Screen,3_0_1_0_1_0_1,2023-01-08T10:15:35.064Z,,sdfdsf,Respekt,heshima,,,,,,NaN,d,skipped,,,,288482.6000000015,288479.1000000015,,288482.5,,288493.096,,1
"""Falsch""-Screen",canvas.Screen,3_0_1_0_1_0_2,2023-01-08T10:15:40.060Z,,sdfdsf,Respekt,heshima,0,,,,,4999.799999999988,d,timeout,,,,293478.2000000011,293476.23,288476.43,288483.1000000015,288493.096,293492.896,,1
deep,flow.Sequence,3_0_1_0_1_0,2023-01-08T10:15:40.060Z,,sdfdsf,Respekt,heshima,,,,,,12566.820000000007,d,completion,,,,293478.6000000015,293476.23,280892.744,280896.2000000011,280909.41,293492.896,,1
shallow,flow.Sequence,3_0_1_0_1_1,2023-01-08T10:15:40.060Z,,sdfdsf,Respekt,heshima,,,,,,NaN,d,skipped,,,,293479,293476.23,,293478.80000000075,,293492.896,,1
task  ,flow.Sequence,3_0_1_0_1,2023-01-08T10:15:40.061Z,,sdfdsf,Respekt,heshima,,,,,,12566.820000000007,d,completion,,,,293479.1000000015,293476.23,280892.744,280896.2000000011,280909.41,293492.896,,1
Deep Question,html.Page,3_0_1_0_2_0_0,2023-01-08T10:15:51.676Z,,,Können,unaweza,,,,,,11602.004000000365,d,form submission,,saa,,305095,305094.9000000004,293476.23,293479.30000000075,293492.896,305109.5,,1
"""Richtig""-Screen",canvas.Screen,3_0_1_0_2_0_1,2023-01-08T10:15:51.677Z,,sdfdsf,Können,unaweza,,,,,,NaN,d,skipped,,,,305096,305094.9000000004,,305096,,305109.5,,1
