sender;sender_type;sender_id;response;response_action;ended_on;duration;time_run;time_render;time_show;time_end;time_commit;timestamp;time_switch;german;swahili;enc;distractor1;distractor2;distractor3;response_2;x;correct;distractors;url_vp;url_sess;meta_labjs_version;meta_location;meta_user_agent;meta_platform;meta_language;meta_locale;meta_time_zone;meta_timezone_offset;meta_screen_width;meta_screen_height;meta_scroll_width;meta_scroll_height;meta_window_inner_width;meta_window_inner_height;meta_device_pixel_ratio;meta_labjs_build_flavor;meta_labjs_build_commit
Save data screen;canvas.Screen;2_2_0_1;NA;NA;timeout;500.02;249626;249622.78;249625.44;250108.84;250110;2023-02-11T17:41:49Z;250125.46;Papier;karatasi;s;uchambuzi;usalama;kukataliwa;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_2_0;NA;NA;completion;3316.74;246781;246775.44;246792.1;250108.84;250111;2023-02-11T17:41:49Z;250125.46;Papier;karatasi;s;uchambuzi;usalama;kukataliwa;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_2;NA;NA;completion;3316.74;246781;246775.44;246792.1;250108.84;250112;2023-02-11T17:41:49Z;250125.46;Papier;karatasi;s;uchambuzi;usalama;kukataliwa;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_3_0_0;NA;NA;form submission;4531.54;250113;250108.84;250125.46;254657;254658;2023-02-11T17:41:53Z;254658.84;Vorwurf;mashtaka;d;msukumo;mtangulizi;uenyekiti;mashtaka;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_3_0_1;NA;NA;timeout;500.02;254660;254656.88;254658.84;255142.18;255144;2023-02-11T17:41:54Z;255158.86;Vorwurf;mashtaka;d;msukumo;mtangulizi;uenyekiti;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_3_0;NA;NA;completion;5016.72;250113;250108.84;250125.46;255142.18;255145;2023-02-11T17:41:54Z;255158.86;Vorwurf;mashtaka;d;msukumo;mtangulizi;uenyekiti;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_3;NA;NA;completion;5016.72;250112;250108.84;250125.46;255142.18;255146;2023-02-11T17:41:54Z;255158.86;Vorwurf;mashtaka;d;msukumo;mtangulizi;uenyekiti;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_4_0_0;NA;NA;form submission;9530.14;255147;255142.18;255158.86;264689;264690;2023-02-11T17:42:03Z;264692.3;Stimmung;kinyongo;d;kilekile;kisambo;madhehebu;kinyongo;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_4_0_1;NA;NA;timeout;500.02;264692;264688.38;264692.3;265175.64;265177;2023-02-11T17:42:04Z;265192.32;Stimmung;kinyongo;d;kilekile;kisambo;madhehebu;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_4_0;NA;NA;completion;10016.78;255147;255142.18;255158.86;265175.64;265178;2023-02-11T17:42:04Z;265192.32;Stimmung;kinyongo;d;kilekile;kisambo;madhehebu;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_4;NA;NA;completion;10016.78;255146;255142.18;255158.86;265175.64;265179;2023-02-11T17:42:04Z;265192.32;Stimmung;kinyongo;d;kilekile;kisambo;madhehebu;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_5_0_0;NA;NA;form submission;3412.68;265180;265175.64;265192.32;268605;268605;2023-02-11T17:42:07Z;268608.98;Begegnung;kukutana;d;mmasihiya;mpiganaji;husiano;kukutana;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_5_0_1;NA;NA;timeout;499.94;268606;268603.6;268608.98;269092.26;269094;2023-02-11T17:42:08Z;269108.92;Begegnung;kukutana;d;mmasihiya;mpiganaji;husiano;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_5_0;NA;NA;completion;3899.94;265179;265175.64;265192.32;269092.26;269095;2023-02-11T17:42:08Z;269108.92;Begegnung;kukutana;d;mmasihiya;mpiganaji;husiano;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_5;NA;NA;completion;3899.94;265179;265175.64;265192.32;269092.26;269096;2023-02-11T17:42:08Z;269108.92;Begegnung;kukutana;d;mmasihiya;mpiganaji;husiano;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_6_0_0;NA;NA;form submission;5781.08;269097;269092.26;269108.92;274890;274890;2023-02-11T17:42:14Z;274892.38;Orientierung;urekebisho;s;uelekeo;marekebisho;utunzaji;urekebisho;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_6_0_1;NA;NA;timeout;500.04;274893;274889.7;274892.38;275375.8;275378;2023-02-11T17:42:14Z;275392.42;Orientierung;urekebisho;s;uelekeo;marekebisho;utunzaji;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_6_0;NA;NA;completion;6266.88;269097;269092.26;269108.92;275375.8;275379;2023-02-11T17:42:14Z;275392.42;Orientierung;urekebisho;s;uelekeo;marekebisho;utunzaji;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_6;NA;NA;completion;6266.88;269097;269092.26;269108.92;275375.8;275379;2023-02-11T17:42:14Z;275392.42;Orientierung;urekebisho;s;uelekeo;marekebisho;utunzaji;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_7_0_0;NA;NA;form submission;5236.58;275379;275375.8;275392.42;280629;280629;2023-02-11T17:42:19Z;280628.34;Wechsel;ugeuzaji;s;utambulisho;kujenga;wasiwasi;ugeuzaji;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_7_0_1;NA;NA;timeout;497.48;280630;280628.06;280628.34;281109.14;281110;2023-02-11T17:42:20Z;281125.82;Wechsel;ugeuzaji;s;utambulisho;kujenga;wasiwasi;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_7_0;NA;NA;completion;5716.72;275379;275375.8;275392.42;281109.14;281111;2023-02-11T17:42:20Z;281125.82;Wechsel;ugeuzaji;s;utambulisho;kujenga;wasiwasi;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_7;NA;NA;completion;5716.72;275379;275375.8;275392.42;281109.14;281112;2023-02-11T17:42:20Z;281125.82;Wechsel;ugeuzaji;s;utambulisho;kujenga;wasiwasi;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_8_0_0;NA;NA;form submission;8654.18;281112;281109.14;281125.82;289780;289780;2023-02-11T17:42:28Z;289779.68;Integrität;uadilifu;s;muungano;mtiririko;upunguaji;uadilifu;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_8_0_1;NA;NA;timeout;496.26;289782;289779.34;289779.68;290259.3;290264;2023-02-11T17:42:29Z;290275.94;Integrität;uadilifu;s;muungano;mtiririko;upunguaji;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_8_0;NA;NA;completion;9133.48;281112;281109.14;281125.82;290259.3;290269;2023-02-11T17:42:29Z;290275.94;Integrität;uadilifu;s;muungano;mtiririko;upunguaji;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_8;NA;NA;completion;9133.48;281112;281109.14;281125.82;290259.3;290271;2023-02-11T17:42:29Z;290275.94;Integrität;uadilifu;s;muungano;mtiririko;upunguaji;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_9_0_0;NA;NA;form submission;5288.06;290273;290259.3;290275.94;295564;295565;2023-02-11T17:42:34Z;295562.32;Fleisch;mshakiki;s;kizunguzungu;mshikamano;angusho;mshakiki;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_9_0_1;NA;NA;timeout;497.02;295571;295562;295562.32;296042.68;296045;2023-02-11T17:42:35Z;296059.34;Fleisch;mshakiki;s;kizunguzungu;mshikamano;angusho;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_9_0;NA;NA;completion;5766.74;290273;290259.3;290275.94;296042.68;296047;2023-02-11T17:42:35Z;296059.34;Fleisch;mshakiki;s;kizunguzungu;mshikamano;angusho;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_9;NA;NA;completion;5766.74;290273;290259.3;290275.94;296042.68;296048;2023-02-11T17:42:35Z;296059.34;Fleisch;mshakiki;s;kizunguzungu;mshikamano;angusho;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_10_0_0;NA;NA;form submission;9534.66;296050;296042.68;296059.34;305594;305595;2023-02-11T17:42:44Z;305593.88;Atmosphäre;angahewa;d;kuteseka;usahihi;kutoamini;angahewa;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_10_0_1;NA;NA;timeout;498.88;305598;305593.54;305593.88;306076.1;306077;2023-02-11T17:42:45Z;306092.76;Atmosphäre;angahewa;d;kuteseka;usahihi;kutoamini;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_10_0;NA;NA;completion;10016.76;296050;296042.68;296059.34;306076.1;306079;2023-02-11T17:42:45Z;306092.76;Atmosphäre;angahewa;d;kuteseka;usahihi;kutoamini;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_10;NA;NA;completion;10016.76;296049;296042.68;296059.34;306076.1;306081;2023-02-11T17:42:45Z;306092.76;Atmosphäre;angahewa;d;kuteseka;usahihi;kutoamini;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_11_0_0;NA;NA;form submission;4502.24;306082;306076.1;306092.76;310595;310595;2023-02-11T17:42:49Z;310594.12;Betrüger;mdanganyifu;d;mwanamuziki;wastani;mahakama;mdanganyifu;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_11_0_1;NA;NA;timeout;498.68;310598;310593.74;310594.12;311076.14;311078;2023-02-11T17:42:50Z;311092.8;Betrüger;mdanganyifu;d;mwanamuziki;wastani;mahakama;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_11_0;NA;NA;completion;4983.38;306082;306076.1;306092.76;311076.14;311079;2023-02-11T17:42:50Z;311092.8;Betrüger;mdanganyifu;d;mwanamuziki;wastani;mahakama;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_11;NA;NA;completion;4983.38;306081;306076.1;306092.76;311076.14;311080;2023-02-11T17:42:50Z;311092.8;Betrüger;mdanganyifu;d;mwanamuziki;wastani;mahakama;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_12_0_0;NA;NA;form submission;4071.2;311081;311076.14;311092.8;315164;315164;2023-02-11T17:42:54Z;315163.92;Entwicklung;maendeleo;d;uangavu;mshindwa;badiliko;maendeleo;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_12_0_1;NA;NA;timeout;495.62;315166;315163.54;315163.92;315642.88;315645;2023-02-11T17:42:54Z;315659.54;Entwicklung;maendeleo;d;uangavu;mshindwa;badiliko;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_12_0;NA;NA;completion;4550.08;311081;311076.14;311092.8;315642.88;315646;2023-02-11T17:42:54Z;315659.54;Entwicklung;maendeleo;d;uangavu;mshindwa;badiliko;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_12;NA;NA;completion;4550.08;311081;311076.14;311092.8;315642.88;315646;2023-02-11T17:42:54Z;315659.54;Entwicklung;maendeleo;d;uangavu;mshindwa;badiliko;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_13_0_0;NA;NA;form submission;3237.46;315647;315642.88;315659.54;318897;318897;2023-02-11T17:42:58Z;318896.38;Genehmigung;idhini;d;mwanamke;itikadi;fedheha;idhini;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_13_0_1;NA;NA;timeout;496.5;318899;318896.04;318896.38;319376.34;319378;2023-02-11T17:42:58Z;319392.88;Genehmigung;idhini;d;mwanamke;itikadi;fedheha;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_13_0;NA;NA;completion;3716.8;315647;315642.88;315659.54;319376.34;319380;2023-02-11T17:42:58Z;319392.88;Genehmigung;idhini;d;mwanamke;itikadi;fedheha;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_13;NA;NA;completion;3716.8;315646;315642.88;315659.54;319376.34;319380;2023-02-11T17:42:58Z;319392.88;Genehmigung;idhini;d;mwanamke;itikadi;fedheha;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_14_0_0;NA;NA;form submission;5640.12;319381;319376.34;319392.88;325033;325034;2023-02-11T17:43:04Z;325033.06;Respekt;heshima;s;changamnao;upinzani;ufanisi;heshima;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_14_0_1;NA;NA;timeout;493.32;325036;325032.7;325033.06;325509.78;325511;2023-02-11T17:43:04Z;325526.38;Respekt;heshima;s;changamnao;upinzani;ufanisi;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_14_0;NA;NA;completion;6116.9;319381;319376.34;319392.88;325509.78;325512;2023-02-11T17:43:04Z;325526.38;Respekt;heshima;s;changamnao;upinzani;ufanisi;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_14;NA;NA;completion;6116.9;319381;319376.34;319392.88;325509.78;325513;2023-02-11T17:43:04Z;325526.38;Respekt;heshima;s;changamnao;upinzani;ufanisi;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_15_0_0;NA;NA;form submission;6836.62;325513;325509.78;325526.38;332363;332363;2023-02-11T17:43:11Z;332362.08;Erneuerung;ukarabati;s;ushawishi;ukalifu;unyonyaji;ukarabati;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_15_0_1;NA;NA;timeout;497.64;332364;332361.7;332362.08;332843.06;332845;2023-02-11T17:43:12Z;332859.72;Erneuerung;ukarabati;s;ushawishi;ukalifu;unyonyaji;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_15_0;NA;NA;completion;7316.68;325513;325509.78;325526.38;332843.06;332846;2023-02-11T17:43:12Z;332859.72;Erneuerung;ukarabati;s;ushawishi;ukalifu;unyonyaji;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_15;NA;NA;completion;7316.68;325513;325509.78;325526.38;332843.06;332846;2023-02-11T17:43:12Z;332859.72;Erneuerung;ukarabati;s;ushawishi;ukalifu;unyonyaji;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
retrieval block 2 (multiple choice);flow.Loop;2;NA;NA;completion;96751.08;236082;236075.32;236091.98;332843.06;332846;2023-02-11T17:43:12Z;332859.72;NA;NA;NA;NA;NA;NA;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
End;canvas.Screen;3;NA;keypress(Space);response;1195.28;332847;332843.06;332859.72;334055;334071;2023-02-11T17:43:13Z;334072.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
root;flow.Sequence;NA;NA;NA;completion;329615.72;4403;4405.94;4439.28;334055;334072;2023-02-11T17:43:13Z;334072.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
