sender;sender_type;sender_id;response;response_action;ended_on;duration;time_run;time_render;time_show;time_end;time_commit;timestamp;time_switch;german;swahili;enc;distractor1;distractor2;distractor3;response_2;x;correct;distractors;url_vp;url_sess;meta_labjs_version;meta_location;meta_user_agent;meta_platform;meta_language;meta_locale;meta_time_zone;meta_timezone_offset;meta_screen_width;meta_screen_height;meta_scroll_width;meta_scroll_height;meta_window_inner_width;meta_window_inner_height;meta_device_pixel_ratio;meta_labjs_build_flavor;meta_labjs_build_commit
task;flow.Sequence;1_3;NA;NA;completion;15800.18;57644;57639.94;57656.6;73456.78;73459;2023-02-11T17:38:52Z;73473.44;Vorwurf;mashtaka;d;msukumo;mtangulizi;uenyekiti;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_4_0_0;NA;NA;form submission;9195.56;73460;73456.78;73473.44;82669;82669;2023-02-11T17:39:01Z;82673.6;Niveau;kiwango;s;usimamizi;mwamali;mshairi;kiwingo;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_4_0_1;NA;NA;timeout;499.98;82675;82666.48;82673.6;83156.94;83159;2023-02-11T17:39:02Z;83173.58;Niveau;kiwango;s;usimamizi;mwamali;mshairi;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_4_0;NA;NA;completion;9683.5;73460;73456.78;73473.44;83156.94;83160;2023-02-11T17:39:02Z;83173.58;Niveau;kiwango;s;usimamizi;mwamali;mshairi;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_4;NA;NA;completion;9683.5;73460;73456.78;73473.44;83156.94;83161;2023-02-11T17:39:02Z;83173.58;Niveau;kiwango;s;usimamizi;mwamali;mshairi;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_5_0_0;NA;NA;form submission;9603.42;83162;83156.94;83173.58;92777;92777;2023-02-11T17:39:11Z;92776.16;Papier;karatasi;s;uchambuzi;usalama;kukataliwa;karast;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_5_0_1;NA;NA;timeout;497.52;92781;92775.78;92776.16;93257.02;93258;2023-02-11T17:39:12Z;93273.68;Papier;karatasi;s;uchambuzi;usalama;kukataliwa;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_5_0;NA;NA;completion;10083.44;83161;83156.94;83173.58;93257.02;93258;2023-02-11T17:39:12Z;93273.68;Papier;karatasi;s;uchambuzi;usalama;kukataliwa;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_5;NA;NA;completion;10083.44;83161;83156.94;83173.58;93257.02;93260;2023-02-11T17:39:12Z;93273.68;Papier;karatasi;s;uchambuzi;usalama;kukataliwa;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_6_0_0;NA;NA;form submission;30503.32;93261;93257.02;93273.68;123777;123777;2023-02-11T17:39:42Z;123776.24;Flexibilität;kubadilika;d;enjini;usikilivu;hesabu;huset;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_6_0_1;NA;NA;timeout;497.8;123779;123775.88;123776.24;124257.38;124259;2023-02-11T17:39:43Z;124274.04;Flexibilität;kubadilika;d;enjini;usikilivu;hesabu;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_6_0;NA;NA;completion;30983.7;93261;93257.02;93273.68;124257.38;124259;2023-02-11T17:39:43Z;124274.04;Flexibilität;kubadilika;d;enjini;usikilivu;hesabu;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_6;NA;NA;completion;30983.7;93261;93257.02;93273.68;124257.38;124260;2023-02-11T17:39:43Z;124274.04;Flexibilität;kubadilika;d;enjini;usikilivu;hesabu;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_7_0_0;NA;NA;form submission;8540.96;124261;124257.38;124274.04;132815;132815;2023-02-11T17:39:52Z;132824.14;Wechsel;ugeuzaji;s;utambulisho;kujenga;wasiwasi;uwaufe;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_7_0_1;NA;NA;timeout;500;132818;132813.92;132824.14;133307.48;133308;2023-02-11T17:39:52Z;133324.14;Wechsel;ugeuzaji;s;utambulisho;kujenga;wasiwasi;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_7_0;NA;NA;completion;9033.44;124261;124257.38;124274.04;133307.48;133309;2023-02-11T17:39:52Z;133324.14;Wechsel;ugeuzaji;s;utambulisho;kujenga;wasiwasi;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_7;NA;NA;completion;9033.44;124261;124257.38;124274.04;133307.48;133309;2023-02-11T17:39:52Z;133324.14;Wechsel;ugeuzaji;s;utambulisho;kujenga;wasiwasi;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_8_0_0;NA;NA;form submission;16620.86;133310;133307.48;133324.14;149945;149946;2023-02-11T17:40:09Z;149944.52;Betrüger;mdanganyifu;d;mwanamuziki;wastani;mahakama;hebulizi;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_8_0_1;NA;NA;timeout;496.46;149947;149944.22;149944.52;150424.3;150426;2023-02-11T17:40:09Z;150440.98;Betrüger;mdanganyifu;d;mwanamuziki;wastani;mahakama;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_8_0;NA;NA;completion;17100.16;133310;133307.48;133324.14;150424.3;150426;2023-02-11T17:40:09Z;150440.98;Betrüger;mdanganyifu;d;mwanamuziki;wastani;mahakama;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_8;NA;NA;completion;17100.16;133310;133307.48;133324.14;150424.3;150427;2023-02-11T17:40:09Z;150440.98;Betrüger;mdanganyifu;d;mwanamuziki;wastani;mahakama;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_9_0_0;NA;NA;form submission;9011.02;150427;150424.3;150440.98;159452;159452;2023-02-11T17:40:18Z;159457.76;Entwicklung;maendeleo;d;uangavu;mshindwa;badiliko;atenge;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_9_0_1;NA;NA;timeout;500;159454;159451.2;159457.76;159941.08;159942;2023-02-11T17:40:19Z;159957.76;Entwicklung;maendeleo;d;uangavu;mshindwa;badiliko;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_9_0;NA;NA;completion;9500.1;150427;150424.3;150440.98;159941.08;159942;2023-02-11T17:40:19Z;159957.76;Entwicklung;maendeleo;d;uangavu;mshindwa;badiliko;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_9;NA;NA;completion;9500.1;150427;150424.3;150440.98;159941.08;159943;2023-02-11T17:40:19Z;159957.76;Entwicklung;maendeleo;d;uangavu;mshindwa;badiliko;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_10_0_0;NA;NA;form submission;11713.24;159943;159941.08;159957.76;171671;171672;2023-02-11T17:40:30Z;171674.6;Atmosphäre;angahewa;d;kuteseka;usahihi;kutoamini;uwatenga;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_10_0_1;NA;NA;timeout;500;171674;171671.18;171674.6;172157.92;172159;2023-02-11T17:40:31Z;172174.6;Atmosphäre;angahewa;d;kuteseka;usahihi;kutoamini;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_10_0;NA;NA;completion;12200.16;159943;159941.08;159957.76;172157.92;172160;2023-02-11T17:40:31Z;172174.6;Atmosphäre;angahewa;d;kuteseka;usahihi;kutoamini;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_10;NA;NA;completion;12200.16;159943;159941.08;159957.76;172157.92;172161;2023-02-11T17:40:31Z;172174.6;Atmosphäre;angahewa;d;kuteseka;usahihi;kutoamini;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_11_0_0;NA;NA;form submission;10094.4;172162;172157.92;172174.6;182269;182270;2023-02-11T17:40:41Z;182274.68;Erneuerung;ukarabati;s;ushawishi;ukalifu;unyonyaji;defa;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_11_0_1;NA;NA;timeout;499.98;182277;182266.46;182274.68;182757.98;182759;2023-02-11T17:40:41Z;182774.66;Erneuerung;ukarabati;s;ushawishi;ukalifu;unyonyaji;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_11_0;NA;NA;completion;10583.38;172162;172157.92;172174.6;182757.98;182761;2023-02-11T17:40:41Z;182774.66;Erneuerung;ukarabati;s;ushawishi;ukalifu;unyonyaji;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_11;NA;NA;completion;10583.38;172161;172157.92;172174.6;182757.98;182762;2023-02-11T17:40:41Z;182774.66;Erneuerung;ukarabati;s;ushawishi;ukalifu;unyonyaji;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_12_0_0;NA;NA;form submission;11913.34;182763;182757.98;182774.66;194688;194688;2023-02-11T17:40:53Z;194691.5;Begegnung;kukutana;d;mmasihiya;mpiganaji;husiano;kuku;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_12_0_1;NA;NA;timeout;500.12;194692;194687.28;194691.5;195174.96;195176;2023-02-11T17:40:54Z;195191.62;Begegnung;kukutana;d;mmasihiya;mpiganaji;husiano;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_12_0;NA;NA;completion;12400.3;182763;182757.98;182774.66;195174.96;195178;2023-02-11T17:40:54Z;195191.62;Begegnung;kukutana;d;mmasihiya;mpiganaji;husiano;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_12;NA;NA;completion;12400.3;182762;182757.98;182774.66;195174.96;195180;2023-02-11T17:40:54Z;195191.62;Begegnung;kukutana;d;mmasihiya;mpiganaji;husiano;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_13_0_0;NA;NA;form submission;8740.38;195181;195174.96;195191.62;203932;203932;2023-02-11T17:41:03Z;203941.62;Genehmigung;idhini;d;mwanamke;itikadi;fedheha;bari;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_13_0_1;NA;NA;timeout;500.02;203935;203930.84;203941.62;204424.98;204426;2023-02-11T17:41:03Z;204441.64;Genehmigung;idhini;d;mwanamke;itikadi;fedheha;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_13_0;NA;NA;completion;9233.36;195181;195174.96;195191.62;204424.98;204429;2023-02-11T17:41:03Z;204441.64;Genehmigung;idhini;d;mwanamke;itikadi;fedheha;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_13;NA;NA;completion;9233.36;195180;195174.96;195191.62;204424.98;204430;2023-02-11T17:41:03Z;204441.64;Genehmigung;idhini;d;mwanamke;itikadi;fedheha;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_14_0_0;NA;NA;form submission;18968.36;204431;204424.98;204441.64;223410;223411;2023-02-11T17:41:22Z;223409.82;Orientierung;urekebisho;s;uelekeo;marekebisho;utunzaji;era;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_14_0_1;NA;NA;timeout;498.7;223414;223409.52;223409.82;223891.86;223894;2023-02-11T17:41:23Z;223908.52;Orientierung;urekebisho;s;uelekeo;marekebisho;utunzaji;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_14_0;NA;NA;completion;19450.22;204431;204424.98;204441.64;223891.86;223895;2023-02-11T17:41:23Z;223908.52;Orientierung;urekebisho;s;uelekeo;marekebisho;utunzaji;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_14;NA;NA;completion;19450.22;204431;204424.98;204441.64;223891.86;223895;2023-02-11T17:41:23Z;223908.52;Orientierung;urekebisho;s;uelekeo;marekebisho;utunzaji;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_15_0_0;NA;NA;form submission;11681.48;223896;223891.86;223908.52;235590;235590;2023-02-11T17:41:34Z;235591.96;Fleisch;mshakiki;s;kizunguzungu;mshikamano;angusho;mataka;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_15_0_1;NA;NA;timeout;500.02;235597;235587.48;235591.96;236075.32;236078;2023-02-11T17:41:35Z;236091.98;Fleisch;mshakiki;s;kizunguzungu;mshikamano;angusho;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_15_0;NA;NA;completion;12166.8;223896;223891.86;223908.52;236075.32;236079;2023-02-11T17:41:35Z;236091.98;Fleisch;mshakiki;s;kizunguzungu;mshikamano;angusho;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_15;NA;NA;completion;12166.8;223896;223891.86;223908.52;236075.32;236080;2023-02-11T17:41:35Z;236091.98;Fleisch;mshakiki;s;kizunguzungu;mshikamano;angusho;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
retrieval block 1 (cued recall);flow.Loop;1;NA;NA;completion;221869.14;14200;14201.28;14206.18;236075.32;236082;2023-02-11T17:41:35Z;236091.98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_0_0_0;NA;NA;form submission;6334.02;236084;236075.32;236091.98;242426;242427;2023-02-11T17:41:41Z;242442.06;Flexibilität;kubadilika;d;enjini;usikilivu;hesabu;usikilivu;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_0_0_1;NA;NA;timeout;499.94;242436;242416.72;242442.06;242925.34;242927;2023-02-11T17:41:42Z;242942;Flexibilität;kubadilika;d;enjini;usikilivu;hesabu;NA;NA;0;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_0_0;NA;NA;completion;6833.36;236084;236075.32;236091.98;242925.34;242929;2023-02-11T17:41:42Z;242942;Flexibilität;kubadilika;d;enjini;usikilivu;hesabu;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_0;NA;NA;completion;6833.36;236083;236075.32;236091.98;242925.34;242930;2023-02-11T17:41:42Z;242942;Flexibilität;kubadilika;d;enjini;usikilivu;hesabu;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_1_0_0;NA;NA;form submission;3346;242931;242925.34;242942;246288;246289;2023-02-11T17:41:45Z;246292.06;Niveau;kiwango;s;usimamizi;mwamali;mshairi;kiwango;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;2_1_0_1;NA;NA;timeout;500.04;246291;246287.3;246292.06;246775.44;246778;2023-02-11T17:41:45Z;246792.1;Niveau;kiwango;s;usimamizi;mwamali;mshairi;NA;NA;1;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;2_1_0;NA;NA;completion;3833.44;242931;242925.34;242942;246775.44;246779;2023-02-11T17:41:45Z;246792.1;Niveau;kiwango;s;usimamizi;mwamali;mshairi;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;2_1;NA;NA;completion;3833.44;242930;242925.34;242942;246775.44;246780;2023-02-11T17:41:45Z;246792.1;Niveau;kiwango;s;usimamizi;mwamali;mshairi;NA;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;2_2_0_0;NA;NA;form submission;2831.9;246781;246775.44;246792.1;249624;249624;2023-02-11T17:41:48Z;249625.44;Papier;karatasi;s;uchambuzi;usalama;kukataliwa;karatasi;NA;NA;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
